latitude,longitude,
23.0758,24.0758,
23.0775,76.85145,
23.0758,76.8605, 
23.07581,76.86045, 
23.07582,76.86015, 
23.07583,76.85997, 
23.07584,76.85985, 
23.07582,76.85973, 
23.0758,76.85962, 
23.07577,76.85953, 
23.07574,76.85944, 
23.07572,76.85936, 
23.07569,76.85932, 
23.07563,76.85926, 
23.07559,76.85922, 
23.07556,76.8592, 
23.07553,76.85919, 
23.07546,76.85917, 
23.07537,76.85916, 
23.07531,76.85915, 
23.07521,76.85914, 
23.07491,76.85913, 
23.07492,76.85898, 
23.07493,76.8587, 
23.07494,76.85864, 
23.07493,76.85858, 
23.07492,76.85851, 
23.07494,76.85838, 
23.07495,76.85754, 
23.07494,76.85704, 
23.07494,76.85694, 
23.07494,76.85688, 
23.07496,76.85683, 
23.0749,76.85515, 
23.07492,76.85499, 
23.07508,76.85481, 
23.07506,76.85475, 
23.07504,76.85464, 
23.075,76.8543, 
23.07495,76.85383, 
23.07492,76.85338, 
23.0749,76.85305, 
23.0749,76.85289, 
23.07488,76.85272, 
23.07486,76.85252, 
23.07484,76.85238, 
23.07478,76.85206, 
23.07477,76.85197, 
23.07471,76.8516, 
23.0747,76.85156, 
23.07467,76.85141, 
23.07468,76.85124, 
23.07468,76.85116, 
23.07469,76.85101, 
23.07472,76.85088, 
23.07475,76.85072, 
23.07479,76.85056, 
23.07483,76.85033, 
23.07486,76.85019, 
23.075,76.85017, 
23.07515,76.85017, 
23.07534,76.85018, 
23.07562,76.85013, 
23.07571,76.85012, 
23.07574,76.85012, 
23.07655,76.8501, 
23.07669,76.85009, 
23.07678,76.85009, 
23.07683,76.8501, 
23.07685,76.8501, 
23.07687,76.85011, 
23.07688,76.85012, 
23.07689,76.85013, 
23.07691,76.85019, 
23.07695,76.85026, 
23.07697,76.85035, 
23.07699,76.85047, 
23.07701,76.85076, 
23.07701,76.85077, 
23.07702,76.85092, 
23.07702,76.851, 
23.07702,76.85112, 
23.07706,76.85127, 
23.07711,76.8514, 
23.07715,76.85153, 
23.0775,76.85145, 
